software_package_name,error_stage,error_log_content,predefined_error_categories,file_name
None,unknown,None,unknown,generate_issues_csv.py
None,None,None,None,issue-10006.md
python38-base,dependency_resolution,"unresolvable: nothing provides libpython3_8-1_0 = 3.8.5 needed by python38-base, (got version 3.8.3-4.2)",missing_dependencies,issue-10020.md
libxcb,installation,"Warning: Could not load ""/usr/lib/graphviz/libgvplugin_pango.so.6"" - file not found
Segmentation fault (core dumped)",missing_dependencies,issue-10043.md
None,None,None,None,issue-10067.md
BsRequestPermissionCheck,create,"uninitialized constant BsRequestPermissionCheck::PostRequestMissingParamater

Did you mean?  PostRequestNoPermission",Bug,issue-10079.md
None,None,undefined method `write_to_backend' for nil:NilClass,Bug,issue-10080.md
None,project#destroy,undefined method `write_to_backend' for nil:NilClass,Bug,issue-10081.md
open-build-service,refactoring,Attempt to replace require_login with Pundit policies was rolled back due to excessive custom code.,refactoring_failure,issue-10083.md
efl,WebUI Display,No download icon for efl-1.24.3.tar.xz,UI Bug,issue-10096.md
BespokeSynth,Text Selection,Text selection does not alter the X PRIMARY clipboard,Bug,issue-10099.md
coreutils,submissions#create,undefined method `packages' for nil:NilClass,Bug,issue-10116.md
PlayOnLinux,None,"<status code=""400"">
  <summary>openSUSE:Factory/PlayOnLinux: package 'PlayOnLinux' does not exist</summary>
</status>",missing_dependencies,issue-10117.md
None,None,"Some messages via AMQP aren't in JSON. Examples: project.delete,home=true value=1 package.create,home=true value=1 project.create,home=true value=1 user.create value=1",None,issue-10146.md
None,preinstalling filesystem,"[    1s] [8/65] preinstalling filesystem...
[    1s] usr/sbin: is a symlink
[    1s]
[    1s] build81 failed ""build PKGBUILD"" at Thu Sep 17 09:12:37 UTC 2020.",missing_dependencies,issue-10163.md
None,Frontend,The notifications count on the top-right is rendered on the page load and never updated afterwards. It's only a matter of having some JS to handle this.,"Frontend, Notifications",issue-10169.md
open-build-service,Feature Spec Execution,"Styles are broken when running feature specs with the capybara mobile driver. The Open Build Service logo and other elements are displayed incorrectly, causing issues in clicking and interacting with the elements.","['CSS Rendering Issue', 'Feature Flag Misconfiguration']",issue-10170.md
None,Frontend,Pagination links are broken after marking a notification as read.,Bug,issue-10171.md
None,Frontend,"After marking a notification as 'Read', the current pagination page is not preserved. Instead, the first page of the results is always shown.",['Bug'],issue-10173.md
None,Frontend,None,['Bug'],issue-10181.md
fail2ban,build,Failed to find the file .../usr/lib/tmpfiles.d/fail2ban.conf due to incorrect resolution of %{_libexecdir} macro resulting in the file being copied to .../usr/libexec/tmpfiles.d/fail2ban.conf instead of .../usr/lib/tmpfiles.d/fail2ban.conf.,incorrect_macro_resolution,issue-10186.md
None,Frontend,The search button on the 404 page doesn't react on clicks and after a hit on the `return`-key the search forwards to a 403 error page.,Bug,issue-10196.md
AppImage,Generation of .zsync file,zsync2: Reading and/or parsing .zsync file failed!; Redundant 'http:' added in front of URL,"['Bug', 'Backend']",issue-10201.md
obs-server,,,,issue-10222.md
None,search_operation,"osc -A https://api.suse.de search -B SUSE:SLE-15-SP2:Update --binary '/usr/lib64/python3.6/site-packages/kerberos.cpython-36m-x86_64-linux-gnu.so'
No matches found for '/usr/lib64/python3.6/site-packages/kerberos.cpython-36m-x86_64-linux-gnu.so' in published/binary/ids

osc -A https://api.suse.de search -B SUSE:SLE-15-SP2:Update --binary '/bin/bash'
No matches found for '/bin/bash' in published/binary/ids",incorrect_search_criteria,issue-10226.md
open-build-service,testing,"Failure/Error: expect(response).to be_forbidden

expected `#<ActionDispatch::TestResponse:0x0000559b3fa8bf58 ...`.forbidden?` to return true, got false",Test Suite / CI,issue-10231.md
None,None,Record IDs found by Sphinx but not by ActiveRecord,Test Failure,issue-10232.md
None,Test Suite / CI,"Failure/Error: expect(page).to have_css('#flash', text: ""Created maintenance incident project #{project.name}:maintenance_project:0"")

  expected to find visible css ""#flash"" with text ""Created maintenance incident project home:Jane:maintenance_project:0"" but there were no matches. Also found """", which matched the selector but not all filters.",Test Suite Failure,issue-10233.md
open-build-service,test_submit_request,"Expected response to be a <2XX: success>, but was a <404: Not Found>
Response body: <status code=""not_found"">

  <summary>&lt;status code=""404""&gt;

  &lt;summary&gt;project 'home:tom:temporary' does not exist&lt;/summary&gt;

  &lt;details&gt;404 project 'home:tom:temporary' does not exist&lt;/details&gt;

&lt;/status&gt;

</summary>",missing_dependencies,issue-10234.md
open-build-service,Test Suite / CI,"Failure/Error: it { expect(response).to have_http_status(:not_found) }

  expected the response to have a not_found status code (404) but it was 200

./spec/controllers/person/token_controller_spec.rb:107:in `block (4 levels) in <top (required)>'
",Test Suite / CI,issue-10236.md
None,Project Removal,"project 'home:Iggy:branches:Apache' does not exist
app/lib/backend/connection.rb:123:in `handle_response'
app/lib/backend/connection.rb:113:in `put_or_post'
app/lib/backend/connection.rb:35:in `put'
app/lib/backend/connection_helper.rb:62:in `http_put'
app/lib/backend/api/sources/project.rb:41:in `write_meta'
app/lib/backend/remember_location.rb:15:in `call'
app/lib/backend/remember_location.rb:15:in `block in singleton_method_added'
app/models/project.rb:795:in `write_to_backend'
app/models/project.rb:810:in `block in store'
app/models/project.rb:808:in `store'
app/models/branch_package.rb:285:in `create_branch_project'
app/models/branch_package.rb:83:in `branch'
test/unit/project_remove_test.rb:112:in `branch_package'
test/unit/project_remove_test.rb:48:in `test_accept_request_does_not_revoke_request_for_single_package'
test/test_helper.rb:116:in `block in __run'
test/test_helper.rb:116:in `map'
test/test_helper.rb:116:in `__run'",Missing Dependency,issue-10237.md
patchinfo,patchinfo#update,found unpermitted parameter: :issuesumi,Bug,issue-10260.md
,,,,issue-10272.md
None,None,None,None,issue-10273.md
libdlm,Viewing specific revision file,"File not found: libdlm.spec
404 error on backend for file access",['MissingResources'],issue-10298.md
gnome-control-center,submissions#create,"uninitialized constant BsRequestPermissionCheck::PostRequestMissingParamater
Did you mean?  PostRequestNoPermission",Bug,issue-10299.md
None,Frontend,None,Bug,issue-10326.md
openSUSE/open-build-service,View rendering,User profile page performance deterioration after PR #10313,Performance issue,issue-10332.md
curl,building,"time=""2020-10-26T13:35:48Z"" level=error msg="" error validating containers config: find timezone  in paths: /usr/share/zoneinfo, /etc/zoneinfo""",missing_dependencies,issue-10341.md
None,None,None,None,issue-10352.md
obs-server,Configuration update,Enabling architectures does not update the `architectures` SQL table.,Missing updates,issue-10358.md
mksh,installation,Can't locate Digest/SHA.pm in @INC (@INC contains: ...),missing_dependencies,issue-10366.md
OBS (Open Build Service),Web UI interaction,Duplicate element IDs causing incorrect checkbox selection for 'Arch Community'. HTML snippet provided.,UI/UX Bug,issue-10367.md
liquidshell,editing_changes_file,"Editing the 'changes' file via the web interface removes delimiter lines, and the diff shown does not reflect the actual changes made.","Bug, Frontend",issue-10369.md
,,,,issue-10372.md
xmlhash,,,,issue-10377.md
open-build-service,documentation_issue,API documentation mentions non-existent command 'createtoken' for POST /trigger/runservice route.,incorrect_documentation,issue-10395.md
openQA_from_git_Dockerfile,repository_priority_parsing,broken: cannot map '90' to obs,incompatible_parameters,issue-10396.md
None,API Error during Submit Request,"Server did not define a default maintenance project, can't submit.",Missing Default Maintenance Project,issue-10401.md
opensuse-tumbleweed-image.x86_64-1.0.0-networkd-Snapshot20201107.tar.xz,Download and Verification,"HTTP request to https://download.opensuse.org/tumbleweed/appliances/SHA256SUMS.gpg failed with code 404.
gpg: no valid OpenPGP data found.
gpg: the signature could not be verified.
DOWNLOAD INVALID: Signature verification failed.","['Missing Signatures', 'Incompatible Verification Method']",issue-10407.md
OBS,Startup/Initialization,None,"['Missing Dependencies', 'Incompatible Architecture Instructions']",issue-10423.md
openSUSE/open-build-service,API Availability,/distributions endpoint returns 404; expected to get the list with `osc` tool.,"['Missing Dependencies', 'Incompatible Architecture Instructions']",issue-10440.md
None,None,Server returned an error: HTTP Error 400: unknown parameter 'localbuild',MissingDocumentation,issue-10459.md
None,API/User Interface Interaction,500 - Internal Error; User state change failure,Incompatible State Handling,issue-10500.md
None,Data Rendering,Bogus timestamps on the main page plot. Observed timestamps: 1992-02-14 08:39:53 +0100 (Rails cache) and 1981-10-12 22:02:24 +0000 (OBS).,"Bug, Frontend",issue-10517.md
kiwi-templates-Leap15-JeOS,None,None,None,issue-10534.md
None,API Request,"HTTP Error 500: Internal Server Error
Couldn't find Status::Report with [WHERE `status_reports`.`checkable_id` = ? AND `status_reports`.`checkable_type` = ?]",Missing Resource,issue-10539.md
kiwi-images-vagrant,View Image,"The error should not be present, when the kiwi file is valid.",Bug in UI validation,issue-10540.md
foo,package_version_management,Package foo 2.0 was incorrectly added to the update repository and needs to be removed or invalidated.,incorrect_package_version,issue-10589.md
None,None,None,None,issue-10590.md
open-build-service,frontend,None,Bug,issue-10604.md
podman,runtime,/lib/x86_64-linux-gnu/libc.so.6: version `GLIBC_2.28' not found,missing_dependencies,issue-10610.md
None,None,None,None,issue-10621.md
None,Frontend,Failed to create comment,Bug,issue-10630.md
open-build-service,configuration,404 error when accessing /apidocs-new without a trailing slash,Documentation,issue-10631.md
None,None,None,None,issue-10645.md
git-delta,resource_hungry_action,"method=GET path=/package/rdiff/network:chromium/chromium format=html controller=Webui::PackageController action=rdiff status=302 duration=72.00 view=0.00 db=28.57 location=https://build.opensuse.org/ params={""project""=>""network:chromium"", ""package""=>""chromium""} host=XXX time=380403.24 backend=0 user=_nobody_",missing_auth_protection,issue-10647.md
openSUSE/open-build-service,API Validation and Authentication,"issue_tracker validation error: 1:0: ERROR: Expecting element issue-tracker, got foo",Bug,issue-10649.md
None,Frontend,"After login, the user is redirected to a previous page in browser history instead of staying on the current page.",Bug,issue-10654.md
None,Authentication,Blank page after login,Username encoding issue,issue-10688.md
Open Build Service,Login/Account Creation,500: Internal Server Error,Server-Side Issues,issue-10699.md
None,Authentication,500: Internal Server Error,Authentication Failure,issue-10708.md
openbuildservice,DNS/SSL Configuration,SSL_ERROR_BAD_CERT_DOMAIN; Unconfigured host name (did you mean to use https?),SSL Certificate Misconfiguration,issue-10724.md
,,,,issue-10738.md
,,,,issue-10768.md
gpxsee,dependency_resolution,"unresolvable: have choice for centos-release: centos-linux-release centos-stream-release, have choice for system-release needed by setup: centos-linux-release centos-stream-release",missing_dependencies,issue-10772.md
qtbase5-private-dev,dependency_resolution,unresolvable: have choice for libfontconfig1-dev needed by qtbase5-private-dev: libfontconfig-dev libfontconfig1-dev,missing_dependencies,issue-10773.md
None,API Endpoint Evaluation,"The API endpoint `/source` treats boolean parameters `deleted` as a flag. All values (`?deleted`, `?deleted=1`, `?deleted=0`) are evaluated as True, which is inconsistent with other endpoints.",Inconsistent Parameter Handling,issue-10789.md
None,None,None,None,issue-10793.md
node_modules,diff_call,diff call failed: cpio read error,custom_format_issue,issue-10797.md
None,None,None,Bug,issue-10811.md
None,None,None,None,issue-10833.md
MozillaFirefox-78.7.0-lp152.2.4.1.x86_64,Unresolvable,nothing provides rpmlint-mini,Missing Dependencies,issue-10837.md
None,None,None,Bug/Frontend,issue-10840.md
hello,post-build,No live log available: package 'hello' has no logfile,missing_logfile,issue-10845.md
hello,building,No live log available: package 'hello' has no logfile,missing_logfile,issue-10853.md
openSUSE/open-build-service,,,,issue-10858.md
None,None,None,"Bug, Frontend",issue-10864.md
None,None,None,NetworkIssue,issue-10900.md
open-build-service,Project Creation,ThinkingSphinx::SphinxError in Webui::ProjectController#create,missing_dependencies,issue-10913.md
